event_id,sequence,milestone,event_type,result,occurred_at,commit,summary
CWTV-EVT-000057,57,CWTV.V1.2.5.1,VISUAL_QUALIFICATION_FAILED,FAILED,,,Rendered dashboard was structurally accurate but failed responsive visual qualification.
CWTV-EVT-000064,64,CWTV.V1.2.5.1,VISUAL_QUALIFICATION_PASSED,PASS,2026-09-08T03:23:15Z,,"R2 responsive dashboard visually qualified on mobile and desktop-sized rendering with no destructive horizontal overflow, responsive semantic cards, adaptive difficulty graph, wrapped evidence content, readable failure history and usable timeline presentation"
CWTV-EVT-000065,65,CWTV.V1.2.5.1,MILESTONE_QUALIFIED,QUALIFIED,2026-09-08T03:23:22Z,,"CWTV.V1.2.5.1 Engineering Chronicle and Progress Dashboard Foundation qualified after static, repository, runtime and visual verification"
CWTV-EVT-000075,75,CWTV.V1.2.6,CONTRACT_RUNTIME_QUALIFICATION_FAILED,FAILED,2026-09-09T04:52:08Z,,Contract runtime qualification failed because the checker assumed openapi-typescript was hoisted into repository-root node_modules.
CWTV-EVT-000081,81,CWTV.V1.2.6,CONTRACT_RUNTIME_QUALIFICATION_PASSED,PASS,2026-09-09T04:55:11Z,,R1 workspace-resolved OpenAPI TypeScript runtime qualification passed after removing the invalid root-hoisting assumption
CWTV-EVT-000082,82,CWTV.V1.2.6,MILESTONE_QUALIFIED,QUALIFIED,2026-09-09T04:58:04Z,,"CWTV.V1.2.6 OpenAPI and Typed Contract Foundation qualified after deterministic schema generation, typed contract generation, repository regression and runtime qualification"
CWTV-EVT-000093,93,CWTV.V1.2.7,RUNTIME_QUALIFICATION_FAILED,FAILED,,,CWTV.V1.2.7 native runtime qualification initially failed because the Termux zip packaging utility was unavailable
CWTV-EVT-000094,94,CWTV.V1.2.7,RUNTIME_QUALIFICATION_FAILED,FAILED,,,CWTV.V1.2.7 native runtime qualification initially failed because the Termux zip packaging utility was unavailable
CWTV-EVT-000096,96,CWTV.V1.2.7,RUNTIME_QUALIFICATION_PASSED,PASS,2026-09-09T19:26:37Z,,CWTV.V1.2.7 Termux/Linux engineering workflow runtime qualification passed
CWTV-EVT-000099,99,CWTV.V1.2.7,MILESTONE_QUALIFIED,QUALIFIED,2026-09-09T19:34:03Z,,"CWTV.V1.2.7 Termux / Linux Engineering Workflow Foundation qualified after static policy, repository regression, governed session recreation, actual Termux restart recovery and native runtime qualification"
CWTV-EVT-000108,108,CWTV.V1.2.8,SECURITY_RUNTIME_QUALIFICATION_FAILED,FAILED,2026-09-10T01:34:00+02:00,,V1.2.8 security runtime qualification detected a high-severity js-yaml advisory in the OpenAPI contract-generation dependency path.
CWTV-EVT-000114,114,CWTV.V1.2.8,SECURITY_RUNTIME_QUALIFICATION_FAILED,FAILED,2026-09-10T02:08:00+02:00,,R1 dependency-resolution qualification failed because npm 12.0.2 recognized the Redocly-scoped js-yaml override but retained js-yaml 4.3.1 in the installed Redocly subtree.
CWTV-EVT-000123,123,CWTV.V1.2.8,LOCAL_QUALIFICATION_PASSED,PASS,2026-09-10T00:46:35Z,,"CWTV.V1.2.8 local Linux CI security and quality qualification passed across repository, contracts, backend, frontend, offline database migrations and dependency security gates"
CWTV-EVT-000124,124,CWTV.V1.2.8,MILESTONE_QUALIFIED,PASS,2026-09-10T02:31:22Z,,CWTV.V1.2.8 CI / Security / Quality Foundation remotely qualified on main at cf47aa4; GitHub Actions run 34429017377 concluded SUCCESS with Linux quality gate and Dependency and secret gate passing
