sequence,commit,parents,author_at,committer_at,author_name,subject,files_changed,additions,deletions,is_nexvox_projection,nexvox_source_commit
17,6b4dc6c318b15a314707776f1884559cc5be0422,fdb8311f1b800837a25f1a52fa788cbcf35b53da,2026-09-10T05:03:28+02:00,2026-09-10T05:03:28+02:00,Alex Malunda,docs: lock CineWatch engineering workflow,1,957,0,false,
18,75bc959d900cc760339668501b39b91678aafcb1,6b4dc6c318b15a314707776f1884559cc5be0422,2026-09-10T09:15:41+02:00,2026-09-10T09:15:41+02:00,Alex Malunda,docs: establish CineWatch design intelligence foundation,5,2247,15,false,
19,b087de6409b86314fe7ad59468cb37548ddd64ea,75bc959d900cc760339668501b39b91678aafcb1,2026-09-10T14:54:08+02:00,2026-09-10T14:54:08+02:00,Alex Malunda,feat: establish NexVox engineering knowledge foundation,43,3795,22,false,
20,980bf50489ae0a7c0aa216e784145697ca4f1749,b087de6409b86314fe7ad59468cb37548ddd64ea,2026-09-10T15:45:27+02:00,2026-09-10T15:45:27+02:00,Alex Malunda,chore(nexvox): sync engineering corpus for b087de6,21,973,714,true,b087de6409b86314fe7ad59468cb37548ddd64ea
21,3f9f175407d217e70aeb27420332fe44543e4ea8,980bf50489ae0a7c0aa216e784145697ca4f1749,2026-09-10T16:37:08+02:00,2026-09-10T16:37:08+02:00,Alex Malunda,chore(nexvox): sync engineering corpus for b087de6,4,1052,12,true,b087de6409b86314fe7ad59468cb37548ddd64ea
22,a95c4a2d25c23382fd0196350f9dbe1723be839f,3f9f175407d217e70aeb27420332fe44543e4ea8,2026-09-10T16:41:49+02:00,2026-09-10T16:41:49+02:00,Alex Malunda,fix: restore NexVox source projection boundary,3,84,15,false,
23,2b3c0b7a789a1480c999597c958defa9329feeb5,a95c4a2d25c23382fd0196350f9dbe1723be839f,2026-09-10T16:52:18+02:00,2026-09-10T16:52:18+02:00,Alex Malunda,chore(nexvox): sync engineering corpus for a95c4a2,19,484,395,true,a95c4a2d25c23382fd0196350f9dbe1723be839f
24,7ce6168a347949c4a4feca5c16baefe1fd9596ea,2b3c0b7a789a1480c999597c958defa9329feeb5,2026-09-10T17:35:19+02:00,2026-09-10T17:35:19+02:00,Alex Malunda,fix: enforce NexVox projection boundary,6,137,14,false,
25,233301bf98da58e7c871a03158518b09e7369c90,7ce6168a347949c4a4feca5c16baefe1fd9596ea,2026-09-10T17:40:00+02:00,2026-09-10T17:40:00+02:00,Alex Malunda,chore(nexvox): sync engineering corpus for 7ce6168,21,597,525,true,7ce6168a347949c4a4feca5c16baefe1fd9596ea
26,974d6b6dcdc15b0b027e265f25fb7686454a878b,233301bf98da58e7c871a03158518b09e7369c90,2026-09-10T21:01:02+02:00,2026-09-10T21:01:02+02:00,Alex Malunda,docs: lock A3 Signature Cinematic selection,8,507,7,false,
27,20e851e5eb0577831b0b05bc3cb6c92ee6319e43,974d6b6dcdc15b0b027e265f25fb7686454a878b,2026-09-10T21:21:28+02:00,2026-09-10T21:21:28+02:00,Alex Malunda,docs: record A3 Signature Cinematic selection,3,37,6,false,
28,eed31123509a5a7410f45d95a815164451055a47,20e851e5eb0577831b0b05bc3cb6c92ee6319e43,2026-09-10T21:38:01+02:00,2026-09-10T21:38:01+02:00,Alex Malunda,chore(nexvox): sync engineering corpus for 20e851e,21,876,764,true,20e851e5eb0577831b0b05bc3cb6c92ee6319e43
29,7f6dc58a51f202991c562255a472f40d00584c58,eed31123509a5a7410f45d95a815164451055a47,2026-09-10T22:10:59+02:00,2026-09-10T22:10:59+02:00,Alex Malunda,feat: parameterize A3 master geometry,7,920,13,false,
