path,mode,blob_sha,sha256,bytes,line_count,language,authority_domain,source_role,training_eligibility,eligibility_reason,generated_projection
README.md,100644,38e8bacf533ea7bb935ccddbd6c888032abd6b71,a6949d4c3b6096fb10ccb37d6a0c966b8693fe2d71fccb240ab9956cf6925c73,5181,104,Markdown,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
SECURITY.md,100644,2a4da54edd1deb668a78864a7cca1172fcf15237,4e23c18a374aa7af383fc933c459cdc4b186c6aeb511edb8b43272f9b1885b5f,1142,33,Markdown,repository_foundation,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/README.md,100644,effb2dfddb3a059125c72c04e696533a9ab4c6ec,f687b7452b67331a2ba3dcdeea457b827f5ac7e465505c7b4ec80ad49c504df4,1270,27,Markdown,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/eslint.config.mjs,100644,199c0ecf88b9dd695aa06394d4071706e1a648ab,2ac5b4b8898d7b511a7ccca34adc20207610d4e6c347672faeeede7bd35a8314,366,16,JavaScript,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/next-env.d.ts,100644,ce4e94a6b10f160ee021fe18939af160d2927dcf,1862ac4bbbc5192d4bf562161df66ea547ed3e67173100656ab606ae9797db2b,288,7,TypeScript,frontend,SOURCE_CODE,REFERENCE_ONLY,canonical/reference/generated artifact retained for provenance but excluded from training text,false
apps/web/next.config.ts,100644,dcf478452042490bb80ab95e300ce09d99e7b965,13c14eaf596f16b598a3d8f6c7b061d2f1aeedf14b5afa6624844c83354b9b4c,156,8,TypeScript,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/package.json,100644,26628b6d8ad841112a7a9ea4193dc1f667296431,d55813482a0023eb39575b7c6e064035edbb9c6db3e137da543b0821cfdde821,757,33,JSON,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/asset-manifest.json,100644,c61e804d82c789d5412e8c95a69f5567ba3114f4,c4b76fb27a7eff3f26bcb247aa6b7f39456eeb9611e1b70f9207e2ad64b61c50,5840,187,JSON,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-lockup-on-dark.svg,100644,faecf7a4d5b6a9b2bd176be266977641afda74f9,511add2c88078605ee08ab6a305755c4d2081c6a0282b0cf0fe13a00cfd82277,8595,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-lockup-on-light.svg,100644,de70c903fd0c500192efed08b38c171e034c9514,10f2cb30cda3e5506af2fd6278149a511ff5753610b9f01d3071073ff3c504dc,8595,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-mark-m1-full.svg,100644,0ce4f035b9dd1f9a05ae8c890005f9235cd414fe,fc53d6e30e41434858ac1ac3ee96abf9663adf60d2c0f2a0193042e34f3b2b10,2431,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-mark-r1a-black.svg,100644,d7567616a405030a3b986d3576d14081f2df4f3f,ea46902a8b712c188016ecfef8410b551a7b1c6c506f0ecbccbc1fd10fbed4d4,1039,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-mark-r1a-full.svg,100644,4ea0b3c7c80ea5dff507e425730b9b2ea9518293,6f9d58204588321b5103dc744d0b804818bf94ef7a0bb722892ae6d8ac3da918,2431,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-mark-r1a-white.svg,100644,60262cc433bf144694cf55365c242c91294655fd,1a7fa017b645727047a6754642513324fb07890f8089c301fc8f8e7488e57359,1039,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-wordmark-on-dark.svg,100644,cde4d4f41d34828f85f186ab2a09816ed888ef01,228522f86176e88f4a2b098928444ee24c6402e214592f053f54d1af352c1413,6232,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/brand/cinewatch-wordmark-on-light.svg,100644,51c200c0d0c025d5b69125632a18549202e43967,c64ef1d47ed967a69db10eae8b9c3a3241b465cc3c1b83d4d4e51c2f6dbb1a2f,6232,,SVG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-app-icon-180.png,100644,8c2786081b10e92fe12527c4fd3858acf0e96610,ed300fc7f4973945b3bcfe488b467f6eb024ce02658826a6d206c1f1d7ce3634,7765,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-app-icon-192.png,100644,b170dfc43eda431d54224bcc07a15d4e4f11310d,f855aebf6c737aca595bb5bb3a12b7481cccabb9d08863ebb06c6cd1ac0c69b3,8547,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-app-icon-512.png,100644,9a4b372b6f882052c4809d2b6a9e4a812fd53ab0,a9942d2a81449e2d22a0abb2a5a62746508d5fe7e580d87c2971375af9dae582,26814,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-app-icon-light-512.png,100644,b6edcbcf76a8ea93876e5e7b08847e09dae21cc1,a206286d0e5d9051788340e7f8b071e8f9a9ed998b070821d1a551cb884b16a3,27984,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-favicon-16.png,100644,f3ca337cc8ae2fada6d167c1f06faf52b75b18e3,1a8b2d62a230d9d67aa8323a7ec378d47931d09770a75a3f78a22a90139ddfae,496,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-favicon-32.png,100644,a52d549a29ffc32f877f96a41c7f57568baa17a5,a687480b4c15e6fd4fe1e450289a6b76350cb54fec2e34f0d7a07c95178512ef,1127,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-favicon-48.png,100644,7074312bf061fe3a8d7a9a87549d4644ecab9c6b,17b979a6e6c9ed837bd33906438ee98301d2021f3cfd3efcbf81dab72196a793,1788,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-maskable-icon-512.png,100644,0c1c7967c4c881b1ce5f8ed1798a64a81d950cca,e581ce67daf51456f54d8473a7754d8b893619a5f79d166397aa4694a750283a,17185,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-micro-16.png,100644,3eecd2d77592122699621ddf3ceef2fb261d3810,94188854cdbe087de1a62d2db3135443dac771c5e372a1b07107327b652e5fe8,632,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-micro-24.png,100644,7c4b116a5a1bfa5720ba1d0552d833256ac3fca0,e2fb2654ecfe0e2c251816abca49c9b03c222454a87b44411d4fb441bd91ca1a,955,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/icons/cinewatch-micro-32.png,100644,0eb8ac3721df8b6cc0d908eb0f6d73bbecea536f,bae18edf0cae3ab738fd39717605456d671be08ebfc158b916d72fd6e4d07d0a,1289,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/seo/cinewatch-og-1200x630.png,100644,27f2d8c618de09156233e547f7cae614ef315d15,d05a63712ac75e90d8dc2bd7640701486c62bab7e20bcac10654b2b1cd27f91f,34972,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/public/seo/cinewatch-social-1080x1080.png,100644,2015374801ffd2df776cbe416e5549fe620f7f48,a094d2aa6236c56eee1c00d559301c47a8f7f1b397b41616e97f5d63a68f7cac,51997,,PNG,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/brand-qualification/brand-qualification.module.css,100644,6c2a55ac03e974acff818564d3225da83c4e6c53,fb2837ec5c30c5439a8ebd6c3c44ec099862833ccea6903e3f6c8e6f703a0b75,6704,432,CSS,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/brand-qualification/page.tsx,100644,bbcb9c0bf19f04d1f699d24c4be0ed74fed4f79d,1c004b1a5f50d359dfdf8e1fdef018cd2b14418c4e557d640cd3d262bb31721c,8433,205,TSX,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/error.tsx,100644,bc4132fb55292ca1a8cde65b53a09e9b08289dbf,874240a5297eb59b581e5b17f0efbe06e3d1fb409fae673a1423cfa42bc62a9a,379,18,TSX,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/global-error.tsx,100644,d0a05eb41b8229026e733c6be361aa0a60744e63,86286eabc4a180d851f6800b8d827896ed82e06b9515a48e992de88742d43e2c,421,21,TSX,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/globals.css,100644,ade58cbef5b388152a03cbd7a66c18452dce0f31,20d3dc4461bb6df5ccbdf170a04e242e1edee959515f95f4b288ab4e98356690,351,31,CSS,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/layout.tsx,100644,0a06e5f5b5a38784638f738377040941f3ebf4da,7e033b3720c6cb3e29609e0f99a7fb56ec8174709458709ae69c9c5497e4f636,1297,51,TSX,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/loading.tsx,100644,10d0aeb2d6bc86988f33839eac4a9b054644d4b2,04a016da1b0da8ba26c43cda59bb62748faba49f90a45a0a88eafd3f9f414fae,150,7,TSX,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/manifest.ts,100644,83c60c96ba5780959f5d3dc36e0f3905ded37207,1be34ce74ae67af188ad9d707ebda1880ce707da677ae9d31ca275cfdea737bd,820,33,TypeScript,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/not-found.tsx,100644,dcc244a2fba81c682c5d5b4b0e5326416d0c9981,b5a8d4d87c4df5b60bae25b3ae432903f77d0259c618a4d426f4b37e68ab72d3,165,8,TSX,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/page.tsx,100644,44458077e9ac4812a0791478cc55b42208c4ad7b,a7d67b77511cabcbeea12c115af8a9a96a6b5e1d47ab66bf5284bcbd04be4bb8,295,12,TSX,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/app/robots.ts,100644,d35686e07113f7e86c2bd000fe733424c72df2f4,ee236a71493c80ef6db46698ff842d8fe2bceb2b4e7b2273671e60525c895429,182,10,TypeScript,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/lib/api/system-client.ts,100644,7490b98fc40fa16965e0e9628a02567fbc3fbf70,3de980bbce2fc4983f9a5eb0afb2a19df8b7c93b93d0ceee29f566acc5c57a97,747,27,TypeScript,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/src/lib/config/public-env.ts,100644,83c9bfdf05e8671622e3bf2cff7fc64d0e0a8595,a34421af63e982d0d7f7dccbbea83dcf5212e3ac4baaa8ce02cd2e1c38b2a04d,810,29,TypeScript,frontend,SOURCE_CODE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
apps/web/tsconfig.json,100644,62519eaa90930c0744de10b3a0334ca7d11ce049,8763b09369fa189d9069884994c3a58c53b977d40fbad67646acff788838d421,694,35,JSON,frontend,REPOSITORY_SOURCE,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_A3_Master_Geometry_Parameterization_001.md,100644,8c457e444f1065dec106b645d38d3cb906f57b60,beebfc7b9262395661e86a6257523156b0b7a74a2336732961a84d32d031a27e,9198,375,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_A3_Signature_Cinematic_Selection_Lock_001.md,100644,fa5b7f4e7370270a068d23749c4b1d33ef836545,7898bd6e2e0a9e3bf26d0f10ce8a086d421d3e216f0c549ca7433d70402dd1c6,6843,218,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Backend_Service_Skeleton_001.md,100644,f838854b62e2561950959239364414af2fc52658,e3f738c4906bfd9b2403760538b683b0b272f689758ce5f118e138666cd99b89,3724,87,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Brand_and_Streaming_Signature_Authority_001.md,100644,8bbc54d4e266e430dbc7c5b1a9c84326bda1edb1,5aff70dd9c2f2efdd6d555f95359cca591766d686a7d0c65a6265e4396c489aa,21205,943,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_CI_Security_Quality_Foundation_001.md,100644,52bd2a041525604cd82c19a69a060f4796e9ef33,7fd5b350ffa17a88a154f42f5c179bca3b15d8fe7445111e309f10909cf92f67,8192,265,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Competitive_Design_Intelligence_001.md,100644,4a9a09e15d953b288cea9234e637ea36d7d66467,e6afd702ab421b3f72f9e6c56d1eb522c6f7eecc8db9e84c57440a2977089109,26190,1003,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_REVIEW_REQUIRED,contains external/provider research or rights evidence requiring record-level review,false
docs/architecture/CineWatch_TV_V1_Design_System_and_Asset_Foundation_001.md,100644,38c4feba79750a3147ab2eb8dea0a88693fb4636,ac7c20176beacc8d9d7874c3ddb617394c33643d64e46345d1ecfe85c598e344,21516,978,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Engineering_Architecture_Selection_001.md,100644,b44dd3113c21d372670f0ea12733aeb74e0c7184,d474ecbe11dada2566fadec8d583ee0105de4b20c70882f24ec4abd919cc7dd0,13637,377,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Frontend_Application_Skeleton_001.md,100644,399cfe2025ef75456a8e97c1f1befb7d31d84106,ba82a7f9dd0baee321c654cc6f069ce3c783925b9452a72e2a489df91913fb00,5322,108,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_OpenAPI_and_Typed_Contract_Foundation_001.md,100644,43b030509eac1899d9db8161bc4c2bc740087ef2,ecc6b4e85bf8a8260af9393bd30b035946d22e4d0c601b18fd81fc609146d784,4238,97,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_PostgreSQL_and_Migration_Foundation_001.md,100644,099bf77085fe64b35e43f19fbce831dcdd343c78,714a6cdee7f06a18688fc2e0002cbd9a2d93de196c07f0a7309448000acf23de,4745,102,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Production_Brand_Asset_Browser_Qualification_001.md,100644,f35f4c9c3d268a9cb61c66bd83cc591bb827a45a,425eba83f9edc24bb6df79af6fcabc86e56fe219301e23c11b04b2f6465ff5e7,3705,110,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Repository_Tree_and_Toolchain_Foundation_001.md,100644,00d2e993857fc53d168a1436676b6d111c2c1780,c82cfea3ee9a02d9f4fb366aee3ebef1730ba0e6afcb1cb9aa875d9875a01695,6485,182,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/CineWatch_TV_V1_Termux_Linux_Engineering_Workflow_001.md,100644,46cb8e7779e100e0f2d9fb995a1f159ffd1cef55,cbbc4ad853073e8af83ea9d6d49f5091f6d36281d27b2e081dfc874569682a85,6956,267,Markdown,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/decisions/CWTV_ADR_0001_Repository_Service_Boundary_Naming.md,100644,13050bff82b8a81c0fb9090d2c3cb7f8e96ab914,7292929d5a5625520153cd2993ea47d665ca6891407bb80d7af0de1ba8ece22c,1512,44,Markdown,architecture_decision,ADR,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/decisions/CWTV_ADR_0002_Backend_System_Endpoints_and_Request_Identity.md,100644,93f2c3498e6f400fbb416daffd9d2532b4563a39,104c72a2059a9db1af8d555f59e1c100e5294b7ff83857f89570db758a9f1aca,1043,22,Markdown,architecture_decision,ADR,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/decisions/CWTV_ADR_0003_Frontend_Runtime_and_Build_Portability.md,100644,813c31a55b06749caa1be74bf15e8a3b03604827,138265db27f820c4f55778394bb2542112981718a6c8d9dcd1c97b9d0a20a4e1,1632,27,Markdown,architecture_decision,ADR,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/decisions/CWTV_ADR_0004_PostgreSQL_Authority_and_Migration_Boundary.md,100644,f9f8b6a7da20953d1aae4fcecd048245a03cbbb4,8c3e3b65d912ff59b8dd54a1deed7b082e40ace6adbc0dcb052a8759f21172f7,1484,28,Markdown,architecture_decision,ADR,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/decisions/CWTV_ADR_0005_OpenAPI_Canonical_Contract_and_Type_Generation.md,100644,dfc9a113bdc710ae5da043c51f11c7479c304ba5,a09599503ec5dc7578602fa317dcb3a8b4d8a688ae14efcb030894cf4339602d,1510,24,Markdown,architecture_decision,ADR,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/decisions/CWTV_ADR_0006_Termux_Host_Linux_Runtime_and_Named_Sessions.md,100644,27807862977cbe7900c11d3c2181430f7c631156,4c3f83baba62a64947a26659223ad2da4ee98762dca05cb56295e4e0ee10cd42,2565,61,Markdown,architecture_decision,ADR,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/decisions/CWTV_ADR_0007_Linux_CI_Least_Privilege_and_Supply_Chain_Gates.md,100644,95beea248ae00456ba51273727f7b24939d7c424,b9d5470762a263c0e426d6a088e5ee4e0bef819b7293f439fed6e63010a67a45,2242,58,Markdown,architecture_decision,ADR,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/evidence/CineWatch_TV_V1_A3_Signature_Cinematic_Selected_Direction_001.json,100644,0eb20cc4d0b3852ebff39dd7fc23c1233d5d4594,a484983cc332dc31e5b5eaae4a496d8e294d1cbac63e69e90c19894b0f243010,1439,55,JSON,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/evidence/CineWatch_TV_V1_A3_Signature_Cinematic_Selected_Direction_001.png,100644,c666ba4ed137d2f2798af7b37bef8997da5e8b0e,a0da8a1259fd72886d86af8591f32d32cf90487bc412a8fef07239ef07b0ed1c,1676888,,PNG,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/evidence/CineWatch_TV_V1_Production_Brand_Browser_Approval_001.json,100644,7d9df8f81e51385ea58872ac6f604b7181a1e70a,6f0f66f6ee40a36a26049986e7ff5a4559499f8e496e18a65c62df1edcf1b9ac,1412,46,JSON,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/geometry/CineWatch_TV_V1_A3_Master_Geometry_Parameters_001.json,100644,911ba5e53888a40136da8d2a630415c2405f2e1e,a0d5768be2fec9b674ffbb55cdf680c878ca78673673b3b27eacac3a40a70e90,3411,135,JSON,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/architecture/geometry/CineWatch_TV_V1_A3_Production_Geometry_System_001.json,100644,da03cff17fde1ce1046b9fc86c1f46f0b204d16f,c30b8ebc927ae710074aadb65d2c280e367916696d8f044a4f7634762fb16b89,3467,128,JSON,architecture,ARCHITECTURE_AUTHORITY,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/blueprints/CineWatch_Tv_V1_Blueprint_001.md,100644,a25e92a4e32599de4bb1c68c5d4460eb518dd462,f3c2ff7ec21de3998605e1a69fb42f7ade891ca6e2fdc3bdea11b46efc389994,35606,1477,Markdown,product_blueprint,APPROVED_BLUEPRINT,TRAINING_ELIGIBLE,"CineWatch-owned source, test, governance, or engineering documentation",false
docs/blueprints/CineWatch_Tv_V1_Blueprint_001.pdf,100644,53bd5db0af9716943ecf8e432cdeb230edcd89b7,11be70aa7519ed32128343f862e15deb969744306155b0cf92edcb131a66cdb3,234471,,PDF,product_blueprint,REPOSITORY_SOURCE,REFERENCE_ONLY,canonical/reference/generated artifact retained for provenance but excluded from training text,false
docs/governance/CineWatch_TV_V1_API_Content_Rights_Qualification_Register_001.md,100644,3ad61e3426d4f54ce6686e19a79f926262af35f6,9cbb3d718b888d4a1b259b75ff73a5a298eaff02286e9fc31e34e8c3c3116dc8,14997,452,Markdown,governance,GOVERNANCE_AUTHORITY,TRAINING_REVIEW_REQUIRED,contains external/provider research or rights evidence requiring record-level review,false
